doc_id,filename,title,doc_type,categories,version,effective_date,status
hana-irp-core,개인형 IRP 핵심설명서.pdf,개인형IRP 핵심설명서,핵심설명서,INV;퇴직연금;IRP;디폴트옵션,v1,2026-02-01,active
hana-jungdogeum,중도금대출 상품설명서.pdf,중도금대출 상품설명서,상품설명서,LON;중도금대출;부동산,v1,2021-09-01,active
