doc_id,filename,title,doc_type,routing,department,business_code,categories,version,effective_date,status
sg-voice-phishing-suspend-refund,보이스피싱_지급정지_환급절차.md,보이스피싱 피해금 지급정지·환급 절차,사고예방 안내,E,SG,misremit,SG;misremit,v1,,active
sg-fraud-hotline-contacts,금융사기_신고센터_연락처.md,금융사기 신고센터 연락처,사고예방 안내,E,SG,misremit,SG;misremit,v1,,active
auto-b8e14932ff,전자금융거래기본약관.pdf,전자금융거래기본약관,상품설명서,G,EFN,efn,EFN;efn,v1,,active
auto-cb5f7f8da3,예금거래및외화예금거래기본약관(kb).pdf,예금거래및외화예금거래기본약관(kb),상품설명서,G,DEP,deposit,DEP;deposit,v1,,active
auto-d4b1e243e3,인터넷_공동송금_서비스(kb).pdf,인터넷_공동송금_서비스(kb),상품설명서,G,FX,fx,FX;fx,v1,,active
auto-05a0a09d45,인터넷_공동환전_서비스(kb).pdf,인터넷_공동환전_서비스(kb),상품설명서,G,FX,fx,FX;fx,v1,,active
auto-19d972cf9e,맞춤송금약관(kb).pdf,맞춤송금약관(kb),상품설명서,G,FX,fx,FX;fx,v1,,active
auto-777b236ac5,맞춤환전약관(kb).pdf,맞춤환전약관(kb),상품설명서,G,FX,fx,FX;fx,v1,,active
auto-9e8fb61e98,추가약정서_외환통합한도용(kb).pdf,추가약정서_외환통합한도용(kb),상품설명서,G,FX,fx,FX;fx,v1,,active
auto-8606cbd536,직불카드회원약관(kb).pdf,직불카드회원약관(kb),상품설명서,G,CRD,card,CRD;card,v1,,active
auto-48921c38d4,현금IC카드약관(kb).pdf,현금IC카드약관(kb),상품설명서,G,CRD,card,CRD;card,v1,,active
auto-ef0bd5e0d0,KBStar정기예금특약4362895143981181.pdf,KBStar정기예금특약4362895143981181,상품설명서,G,DEP,deposit,DEP;deposit,v1,,active
sg-misremit-return-regulation,착오송금_반환지원_등에_관한_규정.md,착오송금 반환지원 등에 관한 규정,규정,E,SG,misremit,SG;misremit,v1,2025-01-01,active
sg-misremit-return-bylaws,착오송금_반환지원_시행세칙.md,착오송금 반환지원 등에 관한 규정 시행세칙,시행세칙,E,SG,misremit,SG;misremit,v1,2021-07-06,active
